layer_name,channel_index,weight_index,weight_id,baseline_value,unlearned_value,absolute_change,relative_change,rank_in_channel,channel_total_change
layer4.0.conv3.weight,424,88,layer4.0.conv3.weight_ch424_w88,2.740075544238607e-08,-0.010547230951488018,0.010547257959842682,384925.8125,1,755.06591796875
layer3.0.conv2.weight,41,859,layer3.0.conv2.weight_ch41_w859,2.5824864025025818e-08,0.009842605330049992,0.009842579253017902,381128.03125,1,169.94517517089844
layer2.2.conv2.weight,53,267,layer2.2.conv2.weight_ch53_w267,-3.94071122400419e-08,-0.010471049696207047,0.010471010580658913,265713.71875,1,232.69427490234375
layer4.0.conv3.weight,375,34,layer4.0.conv3.weight_ch375_w34,2.833850842876018e-08,-0.006216553505510092,0.0062165819108486176,219368.703125,1,430.2731628417969
layer2.2.conv3.weight,387,54,layer2.2.conv3.weight_ch387_w54,1.8283008884623086e-08,0.0037814106326550245,0.003781392239034176,206825.484375,1,1617.40234375
layer4.0.conv3.weight,32,490,layer4.0.conv3.weight_ch32_w490,-4.001320519364526e-08,-0.0074733346700668335,0.007473294623196125,186770.703125,1,366.6627197265625
layer3.5.conv3.weight,482,210,layer3.5.conv3.weight_ch482_w210,1.2586814079895703e-07,-0.018805785104632378,0.018805911764502525,149409.625,1,586.06103515625
layer1.2.conv1.weight,41,52,layer1.2.conv1.weight_ch41_w52,-1.1684322487326426e-07,-0.013727748766541481,0.013727632351219654,117487.6171875,1,460.2436218261719
layer4.0.conv3.weight,1270,374,layer4.0.conv3.weight_ch1270_w374,-1.105542466461884e-07,0.012264804914593697,0.012264915741980076,110940.25,1,219.80873107910156
layer4.0.conv3.weight,92,489,layer4.0.conv3.weight_ch92_w489,-2.067647955072971e-07,0.022724682465195656,0.02272488921880722,109906.953125,1,218.39425659179688
layer4.0.conv3.weight,1471,42,layer4.0.conv3.weight_ch1471_w42,-3.193730080397472e-08,-0.0029461681842803955,0.002946136286482215,92247.5078125,1,183.11932373046875
layer3.5.conv3.weight,67,47,layer3.5.conv3.weight_ch67_w47,-1.3191014147651003e-07,-0.011793740093708038,0.011793607845902443,89406.375,1,353.6904602050781
layer3.5.conv3.weight,356,222,layer3.5.conv3.weight_ch356_w222,3.52128495251236e-07,0.018017204478383064,0.01801685243844986,51165.5625,1,204.21392822265625
layer1.2.conv3.weight,53,2,layer1.2.conv3.weight_ch53_w2,1.117586748478061e-06,-0.056499183177948,0.05650030076503754,50555.62890625,1,791.7326049804688
layer4.0.conv3.weight,1989,165,layer4.0.conv3.weight_ch1989_w165,7.90403120731753e-08,0.003827294334769249,0.0038272154051810503,48421.0546875,1,96.66287231445312
layer4.0.conv3.weight,941,443,layer4.0.conv3.weight_ch941_w443,-9.367871456333887e-08,0.004358591511845589,0.0043586851097643375,46528.01953125,1,92.2065200805664
layer4.0.conv3.weight,2024,338,layer4.0.conv3.weight_ch2024_w338,4.3069110233773245e-07,-0.018195757642388344,0.018196187913417816,42248.8125,1,84.30793762207031
layer3.5.conv3.weight,123,47,layer3.5.conv3.weight_ch123_w47,-5.17832518198702e-07,-0.014109543524682522,0.014109025709331036,27246.310546875,1,108.0876693725586
layer3.5.conv3.weight,1000,141,layer3.5.conv3.weight_ch1000_w141,-5.639713549498993e-07,-0.013686747290194035,0.013686182908713818,24267.513671875,1,96.46139526367188
layer2.2.conv3.weight,42,77,layer2.2.conv3.weight_ch42_w77,1.5459851283594617e-06,-0.026987088844180107,0.02698863483965397,17457.240234375,1,138.12139892578125
layer3.0.conv2.weight,41,787,layer3.0.conv2.weight_ch41_w787,-2.6945374429487856e-06,-0.0115717314183712,0.011569037102162838,4293.51513671875,2,169.94517517089844
layer3.0.conv2.weight,41,1125,layer3.0.conv2.weight_ch41_w1125,-4.84880320072989e-06,-0.005511224735528231,0.005506375804543495,1135.615478515625,3,169.94517517089844
layer3.5.conv3.weight,67,188,layer3.5.conv3.weight_ch67_w188,-2.636657518451102e-05,-0.020092139020562172,0.020065773278474808,761.0307006835938,2,353.6904602050781
layer4.0.conv3.weight,424,269,layer4.0.conv3.weight_ch424_w269,1.0847589692275506e-05,-0.006931329146027565,0.006942176725715399,639.97412109375,2,755.06591796875
