layer_name,channel_index,channel_id,mean_absolute_change,max_absolute_change,mean_relative_change,max_relative_change,std_absolute_change,percentage_changed,channel_parameters,layer_total_relative_change
layer2.2.conv3.weight,199,layer2.2.conv3.weight_ch199,0.055929750204086304,0.17680010199546814,1791.266845703125,229070.0625,0.038926851004362106,100.0,128,6.416417121887207
layer2.0.conv3.weight,107,layer2.0.conv3.weight_ch107,0.044882986694574356,0.16279305517673492,1710.7088623046875,218566.59375,0.03636261448264122,100.0,128,5.565335273742676
layer3.5.conv3.weight,301,layer3.5.conv3.weight_ch301,0.041512876749038696,0.1519971340894699,1586.1949462890625,405679.3125,0.029795004054903984,100.0,256,4.302753448486328
layer2.3.conv3.weight,368,layer2.3.conv3.weight_ch368,0.05486364662647247,0.1793757677078247,1251.9910888671875,160084.8125,0.039016272872686386,100.0,128,5.413695335388184
layer2.3.conv2.weight,95,layer2.3.conv2.weight_ch95,0.0349535271525383,0.1637212038040161,362.0520935058594,415221.09375,0.0267300046980381,100.0,1152,6.499204635620117
layer2.3.conv3.weight,165,layer2.3.conv3.weight_ch165,0.05034595727920532,0.20739738643169403,260.46875,33206.3125,0.038410428911447525,100.0,128,5.413695335388184
layer3.0.conv2.weight,133,layer3.0.conv2.weight_ch133,0.025807948783040047,0.11478959769010544,246.0330352783203,557197.75,0.019428029656410217,100.0,2304,6.3652544021606445
layer3.4.conv2.weight,115,layer3.4.conv2.weight_ch115,0.024468444287776947,0.1174667701125145,223.83628845214844,511731.46875,0.018246032297611237,100.0,2304,5.51312780380249
layer4.1.conv2.weight,254,layer4.1.conv2.weight_ch254,0.017697539180517197,0.0921235978603363,215.2359619140625,976757.25,0.013374988920986652,100.0,4608,5.064359664916992
layer3.0.conv2.weight,48,layer3.0.conv2.weight_ch48,0.02652798965573311,0.11363508552312851,203.04742431640625,460040.9375,0.019866596907377243,100.0,2304,6.3652544021606445
