layer_name,mean_absolute_change,max_absolute_change,mean_relative_change,max_relative_change,std_absolute_change,percentage_changed,total_parameters,layer_type,layer_depth,shape
conv1.weight,0.05972732976078987,0.5201178789138794,16.32292366027832,10566.8310546875,0.062328629195690155,100.0,9408,Convolution,0,"[64, 3, 7, 7]"
fc.weight,0.018988963216543198,0.2652179002761841,9.337316513061523,214352.96875,0.0165471900254488,99.99706745147705,409600,Fully Connected,5,"[200, 2048]"
layer2.3.conv2.weight,0.03567104786634445,0.24308288097381592,6.499204635620117,415221.09375,0.027014436200261116,99.99864101409912,147456,Convolution,2,"[128, 128, 3, 3]"
layer2.2.conv3.weight,0.05216322839260101,0.29341456294059753,6.416417121887207,229070.0625,0.039666540920734406,99.99847412109375,65536,Convolution,2,"[512, 128, 1, 1]"
layer3.0.conv2.weight,0.02560659497976303,0.17339390516281128,6.3652544021606445,557197.75,0.01947021484375,99.99779462814331,589824,Convolution,3,"[256, 256, 3, 3]"
layer2.0.conv3.weight,0.05222039669752121,0.3517876863479614,5.565335273742676,218566.59375,0.03985648974776268,99.9969482421875,65536,Convolution,2,"[512, 128, 1, 1]"
layer3.4.conv2.weight,0.024936798959970474,0.16111066937446594,5.51312780380249,511731.46875,0.018852196633815765,99.99847412109375,589824,Convolution,3,"[256, 256, 3, 3]"
layer2.3.conv3.weight,0.05158492550253868,0.2811488211154938,5.413695335388184,160084.8125,0.03912976756691933,100.0,65536,Convolution,2,"[512, 128, 1, 1]"
layer4.1.conv2.weight,0.018010113388299942,0.12385963648557663,5.064359664916992,976757.25,0.013645419850945473,99.99576210975647,2359296,Convolution,4,"[512, 512, 3, 3]"
layer4.0.conv2.weight,0.018322452902793884,0.29333019256591797,4.4487762451171875,408684.5625,0.013872925192117691,99.99665021896362,2359296,Convolution,4,"[512, 512, 3, 3]"
layer3.5.conv3.weight,0.03698369860649109,0.2156274914741516,4.302753448486328,405679.3125,0.02799128368496895,99.99923706054688,262144,Convolution,3,"[1024, 256, 1, 1]"
layer1.2.conv3.weight,0.07247608155012131,0.39129847288131714,3.9490413665771484,34346.70703125,0.05479699373245239,100.0,16384,Convolution,1,"[256, 64, 1, 1]"
layer4.1.conv3.weight,0.026283955201506615,0.17716878652572632,3.8364505767822266,520973.03125,0.019888663664460182,99.99704360961914,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer3.3.conv3.weight,0.0367114394903183,0.2745813727378845,3.6391544342041016,92573.828125,0.027777209877967834,99.99847412109375,262144,Convolution,3,"[1024, 256, 1, 1]"
layer4.2.conv2.weight,0.01753878779709339,0.15071365237236023,3.590938091278076,201174.890625,0.013259472325444221,99.99656677246094,2359296,Convolution,4,"[512, 512, 3, 3]"
layer3.3.conv2.weight,0.024942101910710335,0.17237359285354614,3.4676289558410645,78530.59375,0.018862972036004066,99.99847412109375,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.1.conv2.weight,0.024951286613941193,0.17096558213233948,3.382744550704956,56280.26953125,0.018937690183520317,99.99711513519287,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.0.conv3.weight,0.037897899746894836,0.26593923568725586,3.3615427017211914,34787.0625,0.028827277943491936,99.99771118164062,262144,Convolution,3,"[1024, 256, 1, 1]"
layer1.2.conv2.weight,0.0501444935798645,0.2608312964439392,3.255366325378418,15792.2685546875,0.03792165219783783,100.0,36864,Convolution,1,"[64, 64, 3, 3]"
layer2.0.conv2.weight,0.03543190285563469,0.22129231691360474,3.2325572967529297,40706.75,0.026926500722765923,99.99796748161316,147456,Convolution,2,"[128, 128, 3, 3]"
layer4.0.conv3.weight,0.026640694588422775,0.24553829431533813,3.162651777267456,49401.80078125,0.020176608115434647,99.99704360961914,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer2.1.conv2.weight,0.034812767058610916,0.28218185901641846,3.16035795211792,115447.3359375,0.02638070471584797,99.99796748161316,147456,Convolution,2,"[128, 128, 3, 3]"
layer3.5.conv2.weight,0.025009237229824066,0.17656569182872772,3.025412082672119,22849.416015625,0.018921365961432457,99.99745488166809,589824,Convolution,3,"[256, 256, 3, 3]"
layer4.0.conv1.weight,0.05169292539358139,0.331913024187088,2.9928643703460693,84028.09375,0.03915860131382942,99.99885559082031,524288,Convolution,4,"[512, 1024, 1, 1]"
layer3.4.conv3.weight,0.036780912429094315,0.212331160902977,2.987959861755371,32683.1015625,0.027796832844614983,99.99923706054688,262144,Convolution,3,"[1024, 256, 1, 1]"
layer3.0.downsample.0.weight,0.03647947311401367,0.2842842936515808,2.9599575996398926,119842.8984375,0.02764698676764965,99.99866485595703,524288,Downsample,3,"[1024, 512, 1, 1]"
layer1.0.downsample.0.weight,0.07734309136867523,0.8288607597351074,2.9598851203918457,6256.0029296875,0.06031394004821777,100.0,16384,Downsample,1,"[256, 64, 1, 1]"
layer2.2.conv2.weight,0.035294730216264725,0.24981576204299927,2.9597959518432617,10919.841796875,0.02672189101576805,99.99728798866272,147456,Convolution,2,"[128, 128, 3, 3]"
layer3.2.conv2.weight,0.024932196363806725,0.1761147528886795,2.9305739402770996,33121.875,0.01887492462992668,99.99728798866272,589824,Convolution,3,"[256, 256, 3, 3]"
layer4.2.conv3.weight,0.02591649629175663,0.18752087652683258,2.816575050354004,88670.703125,0.019585056230425835,99.99847412109375,1048576,Convolution,4,"[2048, 512, 1, 1]"
