layer_name,channel_index,channel_id,mean_absolute_change,max_absolute_change,mean_relative_change,max_relative_change,std_absolute_change,percentage_changed,channel_parameters,layer_total_relative_change
layer2.0.conv2.weight,125,layer2.0.conv2.weight_ch125,0.035258181393146515,0.13701969385147095,874.1881103515625,1003899.75,0.026785243302583694,100.0,1152,10.386106491088867
layer2.2.conv3.weight,297,layer2.2.conv3.weight_ch297,0.05639776960015297,0.19376540184020996,832.57373046875,106269.9375,0.04036220908164978,100.0,128,4.512998580932617
layer3.3.conv2.weight,222,layer3.3.conv2.weight_ch222,0.025622444227337837,0.10650444030761719,795.9880981445312,1826697.0,0.019199425354599953,100.0,2304,6.648317813873291
layer2.3.conv2.weight,33,layer2.3.conv2.weight_ch33,0.036628417670726776,0.14362895488739014,709.2872314453125,814896.3125,0.027547109872102737,100.0,1152,8.959525108337402
layer2.0.conv1.weight,0,layer2.0.conv1.weight_ch0,0.10355564951896667,0.4263952374458313,352.0149841308594,89130.0078125,0.081547811627388,100.0,256,5.455591201782227
layer2.2.conv3.weight,213,layer2.2.conv3.weight_ch213,0.05336066335439682,0.1607981026172638,204.49771118164062,25968.97265625,0.03827594593167305,100.0,128,4.512998580932617
layer4.0.conv2.weight,103,layer4.0.conv2.weight_ch103,0.018063077703118324,0.09761078655719757,193.87762451171875,878469.75,0.013859819620847702,100.0,4608,4.8861775398254395
layer3.2.conv2.weight,110,layer3.2.conv2.weight_ch110,0.024749964475631714,0.12759552896022797,154.86105346679688,351840.9375,0.019108986482024193,100.0,2304,4.159817218780518
layer2.2.conv3.weight,332,layer2.2.conv3.weight_ch332,0.053884152323007584,0.20298969745635986,143.16712951660156,18153.611328125,0.04140200838446617,100.0,128,4.512998580932617
layer3.0.conv2.weight,246,layer3.0.conv2.weight_ch246,0.025304464623332024,0.1434507519006729,128.9345245361328,291681.0,0.019664227962493896,100.0,2304,4.428482532501221
layer2.0.conv1.weight,54,layer2.0.conv1.weight_ch54,0.09914267063140869,0.363667756319046,107.84030151367188,27181.005859375,0.0737103596329689,100.0,256,5.455591201782227
layer2.2.conv2.weight,6,layer2.2.conv2.weight_ch6,0.035585302859544754,0.14918316900730133,95.49024963378906,107964.2421875,0.02630668319761753,100.0,1152,4.436460494995117
conv1.weight,51,conv1.weight_ch51,0.07054504007101059,0.26523318886756897,79.78814697265625,9956.4560546875,0.05325096845626831,100.0,147,13.5518159866333
conv1.weight,43,conv1.weight_ch43,0.05257512629032135,0.22881554067134857,79.61078643798828,10659.1552734375,0.048177044838666916,100.0,147,13.5518159866333
layer4.0.conv2.weight,297,layer4.0.conv2.weight_ch297,0.018055669963359833,0.08931434154510498,71.4420166015625,312636.59375,0.013695911504328251,100.0,4608,4.8861775398254395
layer4.0.conv2.weight,355,layer4.0.conv2.weight_ch355,0.018177464604377747,0.09366929531097412,64.4211654663086,286392.1875,0.013678484596312046,100.0,4608,4.8861775398254395
layer4.0.conv2.weight,67,layer4.0.conv2.weight_ch67,0.018077192828059196,0.0901680663228035,64.18787384033203,281557.65625,0.013846944086253643,100.0,4608,4.8861775398254395
layer3.2.conv2.weight,93,layer3.2.conv2.weight_ch93,0.025170784443616867,0.10634249448776245,63.88557815551758,126725.7265625,0.018543394282460213,100.0,2304,4.159817218780518
layer2.2.conv2.weight,76,layer2.2.conv2.weight_ch76,0.03688276559114456,0.15557356178760529,61.00415802001953,68215.2890625,0.02801256999373436,100.0,1152,4.436460494995117
