layer_name,mean_absolute_change,max_absolute_change,mean_relative_change,max_relative_change,std_absolute_change,percentage_changed,total_parameters,layer_type,layer_depth,shape
conv1.weight,0.05900461599230766,0.517402708530426,13.5518159866333,10659.1552734375,0.06196800619363785,100.0,9408,Convolution,0,"[64, 3, 7, 7]"
layer2.0.conv2.weight,0.035479478538036346,0.19560903310775757,10.386106491088867,1003899.75,0.026942266151309013,99.99932050704956,147456,Convolution,2,"[128, 128, 3, 3]"
layer2.3.conv2.weight,0.035383984446525574,0.20494608581066132,8.959525108337402,814896.3125,0.026764729991555214,99.99932050704956,147456,Convolution,2,"[128, 128, 3, 3]"
fc.weight,0.018880344927310944,0.27263879776000977,8.891267776489258,239356.09375,0.016495132818818092,99.99682903289795,409600,Fully Connected,5,"[200, 2048]"
layer3.3.conv2.weight,0.024846376851201057,0.18165217339992523,6.648317813873291,1826697.0,0.01879752241075039,99.99678134918213,589824,Convolution,3,"[256, 256, 3, 3]"
layer2.0.conv1.weight,0.10091056674718857,0.5141520500183105,5.455591201782227,89130.0078125,0.07652940601110458,100.0,32768,Convolution,2,"[128, 256, 1, 1]"
layer4.0.conv2.weight,0.01821066252887249,0.26677975058555603,4.8861775398254395,878469.75,0.013802834786474705,99.99656677246094,2359296,Convolution,4,"[512, 512, 3, 3]"
layer2.2.conv3.weight,0.05192052200436592,0.33193448185920715,4.512998580932617,106269.9375,0.039206910878419876,100.0,65536,Convolution,2,"[512, 128, 1, 1]"
layer2.2.conv2.weight,0.035232000052928925,0.2588525414466858,4.436460494995117,107964.2421875,0.026810606941580772,99.99864101409912,147456,Convolution,2,"[128, 128, 3, 3]"
layer3.0.conv2.weight,0.02550775557756424,0.17746317386627197,4.428482532501221,291681.0,0.019397670403122902,99.99796748161316,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.2.conv2.weight,0.024875618517398834,0.16173969209194183,4.159817218780518,351840.9375,0.018854813650250435,99.99711513519287,589824,Convolution,3,"[256, 256, 3, 3]"
layer4.1.conv2.weight,0.017951108515262604,0.1507667899131775,3.9192285537719727,327883.15625,0.013580322265625,99.99648332595825,2359296,Convolution,4,"[512, 512, 3, 3]"
layer3.1.conv3.weight,0.037065450102090836,0.3093790113925934,3.476635217666626,64611.89453125,0.02817930094897747,99.99847412109375,262144,Convolution,3,"[1024, 256, 1, 1]"
layer3.4.conv2.weight,0.02480359561741352,0.15715110301971436,3.470059633255005,177138.5625,0.018767884001135826,99.99762773513794,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.5.conv2.weight,0.024965563789010048,0.17361372709274292,3.418710947036743,90524.6171875,0.018908323720097542,99.99813437461853,589824,Convolution,3,"[256, 256, 3, 3]"
layer1.2.conv2.weight,0.050122518092393875,0.27143797278404236,3.3993406295776367,10626.572265625,0.03800057992339134,100.0,36864,Convolution,1,"[64, 64, 3, 3]"
layer4.0.downsample.0.weight,0.025660013779997826,0.45012906193733215,3.395627737045288,447996.25,0.019398245960474014,99.99752044677734,2097152,Downsample,4,"[2048, 1024, 1, 1]"
layer3.1.conv2.weight,0.024863427504897118,0.18645209074020386,3.3825273513793945,90700.2734375,0.018860407173633575,99.99626874923706,589824,Convolution,3,"[256, 256, 3, 3]"
layer4.0.conv3.weight,0.02652978152036667,0.24475175142288208,3.367912530899048,123524.84375,0.02007405459880829,99.99771118164062,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer4.2.conv2.weight,0.01752764731645584,0.11819064617156982,3.2552783489227295,122418.953125,0.013252777978777885,99.99656677246094,2359296,Convolution,4,"[512, 512, 3, 3]"
layer4.1.conv3.weight,0.026197524741292,0.18993833661079407,3.2075490951538086,162520.4375,0.019808650016784668,99.99771118164062,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer1.0.conv2.weight,0.049196142703294754,0.42598390579223633,3.197686195373535,17778.244140625,0.03799816966056824,100.0,36864,Convolution,1,"[64, 64, 3, 3]"
layer3.0.downsample.0.weight,0.03644610941410065,0.2935542166233063,3.1658334732055664,117964.3984375,0.027591198682785034,99.99847412109375,524288,Downsample,3,"[1024, 512, 1, 1]"
layer3.5.conv3.weight,0.036843590438365936,0.23617279529571533,3.0377535820007324,82198.5703125,0.027860503643751144,99.99771118164062,262144,Convolution,3,"[1024, 256, 1, 1]"
layer1.0.downsample.0.weight,0.07704132795333862,0.6544142365455627,3.0232298374176025,9103.814453125,0.0597146600484848,100.0,16384,Downsample,1,"[256, 64, 1, 1]"
