layer_name,channel_index,weight_index,weight_id,baseline_value,unlearned_value,absolute_change,relative_change,rank_in_channel,channel_total_change
layer3.3.conv2.weight,222,2232,layer3.3.conv2.weight_ch222_w2232,-1.4706420969901046e-08,0.02686415985226631,0.026864174753427505,1826697.0,1,795.9880981445312
layer2.0.conv2.weight,125,843,layer2.0.conv2.weight_ch125_w843,1.1336782179682814e-08,0.011381004005670547,0.011380992829799652,1003899.75,1,874.1881103515625
layer4.0.conv2.weight,103,3183,layer4.0.conv2.weight_ch103_w3183,1.2389435255499848e-08,0.01088375598192215,0.01088374387472868,878469.75,1,193.87762451171875
layer2.3.conv2.weight,33,897,layer2.3.conv2.weight_ch33_w897,2.8359142589806652e-08,-0.023109732195734978,0.023109760135412216,814896.3125,1,709.2872314453125
layer3.2.conv2.weight,110,137,layer3.2.conv2.weight_ch110_w137,-2.1756923374027792e-08,0.007654954679310322,0.007654976565390825,351840.9375,1,154.86105346679688
layer4.0.conv2.weight,297,1061,layer4.0.conv2.weight_ch297_w1061,4.160244060358309e-08,-0.013006403110921383,0.01300644502043724,312636.59375,1,71.4420166015625
layer3.0.conv2.weight,246,2083,layer3.0.conv2.weight_ch246_w2083,2.5802600944757614e-08,-0.007526102475821972,0.007526128087192774,291681.0,1,128.9345245361328
layer4.0.conv2.weight,355,2110,layer4.0.conv2.weight_ch355_w2110,5.4036995322803705e-08,-0.01547571923583746,0.015475773252546787,286392.1875,1,64.4211654663086
layer4.0.conv2.weight,67,3567,layer4.0.conv2.weight_ch67_w3567,6.666778773478654e-08,0.018770894035696983,0.01877082698047161,281557.65625,1,64.18787384033203
layer4.0.conv2.weight,37,2799,layer4.0.conv2.weight_ch37_w2799,6.403302421631452e-08,-0.01692524179816246,0.016925305128097534,264321.5,1,59.86927032470703
layer3.2.conv2.weight,93,2024,layer3.2.conv2.weight_ch93_w2024,1.7999165891069424e-07,0.02280975505709648,0.022809574380517006,126725.7265625,1,63.88557815551758
layer2.2.conv2.weight,6,775,layer2.2.conv2.weight_ch6_w775,3.4983162322532735e-07,0.037769656628370285,0.03776930645108223,107964.2421875,1,95.49024963378906
layer2.2.conv3.weight,297,28,layer2.2.conv3.weight_ch297_w28,5.378307150749606e-07,-0.05715470016002655,0.05715523660182953,106269.9375,1,832.57373046875
