channel_id,weight_index,weight_id,relative_change
layer3.5.conv3.weight_ch359,152,layer3.5.conv3.weight_ch359_w152,298084.0
layer3.5.conv3.weight_ch666,93,layer3.5.conv3.weight_ch666_w93,219911.375
layer3.1.conv3.weight_ch376,173,layer3.1.conv3.weight_ch376_w173,211196.40625
layer4.0.conv3.weight_ch1116,432,layer4.0.conv3.weight_ch1116_w432,165125.03125
layer3.0.conv3.weight_ch501,115,layer3.0.conv3.weight_ch501_w115,153794.453125
layer3.0.conv3.weight_ch226,12,layer3.0.conv3.weight_ch226_w12,152439.234375
layer3.1.conv3.weight_ch877,64,layer3.1.conv3.weight_ch877_w64,104059.6328125
layer4.0.conv3.weight_ch1055,24,layer4.0.conv3.weight_ch1055_w24,102674.4296875
layer3.3.conv3.weight_ch140,119,layer3.3.conv3.weight_ch140_w119,87498.7890625
layer4.0.conv3.weight_ch1084,75,layer4.0.conv3.weight_ch1084_w75,81630.5
layer3.2.conv3.weight_ch366,187,layer3.2.conv3.weight_ch366_w187,62394.0703125
layer3.4.conv3.weight_ch558,184,layer3.4.conv3.weight_ch558_w184,62038.58203125
layer3.4.conv3.weight_ch59,223,layer3.4.conv3.weight_ch59_w223,61320.6640625
layer3.2.conv3.weight_ch601,41,layer3.2.conv3.weight_ch601_w41,51574.87890625
layer3.3.conv3.weight_ch1017,126,layer3.3.conv3.weight_ch1017_w126,49554.32421875
layer2.0.conv1.weight_ch92,184,layer2.0.conv1.weight_ch92_w184,48577.19921875
layer3.4.conv3.weight_ch84,136,layer3.4.conv3.weight_ch84_w136,43502.89453125
layer2.1.conv3.weight_ch172,34,layer2.1.conv3.weight_ch172_w34,33722.66796875
layer2.1.conv3.weight_ch466,37,layer2.1.conv3.weight_ch466_w37,27042.935546875
layer1.2.conv3.weight_ch135,51,layer1.2.conv3.weight_ch135_w51,22866.392578125
layer2.0.conv1.weight_ch92,48,layer2.0.conv1.weight_ch92_w48,10448.80859375
layer1.2.conv3.weight_ch135,26,layer1.2.conv3.weight_ch135_w26,2531.582275390625
layer3.5.conv3.weight_ch359,25,layer3.5.conv3.weight_ch359_w25,1015.7490844726562
layer3.3.conv3.weight_ch140,45,layer3.3.conv3.weight_ch140_w45,346.609619140625
layer4.0.conv3.weight_ch1084,215,layer4.0.conv3.weight_ch1084_w215,278.0494079589844
layer3.4.conv3.weight_ch59,169,layer3.4.conv3.weight_ch59_w169,242.30532836914062
layer3.5.conv3.weight_ch359,189,layer3.5.conv3.weight_ch359_w189,174.2677459716797
layer3.3.conv3.weight_ch1017,196,layer3.3.conv3.weight_ch1017_w196,146.0736541748047
layer3.4.conv3.weight_ch59,104,layer3.4.conv3.weight_ch59_w104,135.0459747314453
layer3.4.conv3.weight_ch59,183,layer3.4.conv3.weight_ch59_w183,134.2251739501953
