layer_name,channel_index,channel_id,mean_relative_change
layer3.5.conv3.weight,666,layer3.5.conv3.weight_ch666,2283.490234375
layer4.0.conv3.weight,1084,layer4.0.conv3.weight_ch1084,797.7278442382812
layer3.3.conv3.weight,614,layer3.3.conv3.weight_ch614,736.576416015625
layer2.3.conv3.weight,231,layer2.3.conv3.weight_ch231,557.3087768554688
layer3.0.conv3.weight,226,layer3.0.conv3.weight_ch226,551.1047973632812
layer3.0.conv3.weight,501,layer3.0.conv3.weight_ch501,533.5802612304688
layer2.0.conv1.weight,92,layer2.0.conv1.weight_ch92,335.391845703125
layer3.2.conv1.weight,187,layer3.2.conv1.weight_ch187,326.9632263183594
layer3.5.conv3.weight,359,layer3.5.conv3.weight_ch359,263.4554443359375
layer3.2.conv3.weight,366,layer3.2.conv3.weight_ch366,249.8674774169922
layer4.0.conv3.weight,0,layer4.0.conv3.weight_ch0,247.5831756591797
layer3.1.conv2.weight,112,layer3.1.conv2.weight_ch112,246.4269256591797
layer3.5.conv3.weight,331,layer3.5.conv3.weight_ch331,243.53147888183594
layer3.2.conv3.weight,668,layer3.2.conv3.weight_ch668,221.36451721191406
layer3.4.conv3.weight,59,layer3.4.conv3.weight_ch59,188.5860595703125
layer4.0.conv3.weight,1462,layer4.0.conv3.weight_ch1462,183.59222412109375
layer4.0.conv3.weight,1055,layer4.0.conv3.weight_ch1055,176.7129364013672
layer3.4.conv3.weight,84,layer3.4.conv3.weight_ch84,164.39215087890625
layer4.0.conv3.weight,1771,layer4.0.conv3.weight_ch1771,146.98243713378906
layer3.4.conv3.weight,784,layer3.4.conv3.weight_ch784,142.58328247070312
layer2.3.conv2.weight,86,layer2.3.conv2.weight_ch86,140.71470642089844
layer3.3.conv3.weight,142,layer3.3.conv3.weight_ch142,135.93997192382812
layer3.3.conv3.weight,367,layer3.3.conv3.weight_ch367,121.18635559082031
layer4.1.conv1.weight,460,layer4.1.conv1.weight_ch460,120.51105499267578
layer1.1.conv1.weight,23,layer1.1.conv1.weight_ch23,115.86930084228516
layer4.0.conv3.weight,863,layer4.0.conv3.weight_ch863,113.84245300292969
layer3.5.conv3.weight,935,layer3.5.conv3.weight_ch935,110.72058868408203
layer3.4.conv3.weight,363,layer3.4.conv3.weight_ch363,95.7384033203125
layer3.5.conv3.weight,865,layer3.5.conv3.weight_ch865,95.16490936279297
layer2.0.conv1.weight,97,layer2.0.conv1.weight_ch97,87.8373794555664
layer3.2.conv3.weight,254,layer3.2.conv3.weight_ch254,83.58566284179688
layer3.2.conv3.weight,601,layer3.2.conv3.weight_ch601,80.41250610351562
layer3.4.conv1.weight,112,layer3.4.conv1.weight_ch112,79.94406127929688
layer3.4.conv3.weight,557,layer3.4.conv3.weight_ch557,78.8790283203125
layer3.4.conv1.weight,129,layer3.4.conv1.weight_ch129,76.79242706298828
layer4.1.conv1.weight,24,layer4.1.conv1.weight_ch24,76.34446716308594
layer3.3.conv3.weight,565,layer3.3.conv3.weight_ch565,75.96564483642578
layer3.4.conv3.weight,131,layer3.4.conv3.weight_ch131,74.55835723876953
layer4.1.conv1.weight,489,layer4.1.conv1.weight_ch489,73.86822509765625
layer3.3.conv3.weight,140,layer3.3.conv3.weight_ch140,73.52094268798828
layer3.0.conv3.weight,1016,layer3.0.conv3.weight_ch1016,70.83648681640625
layer4.0.conv3.weight,1637,layer4.0.conv3.weight_ch1637,68.24188232421875
layer3.4.conv3.weight,429,layer3.4.conv3.weight_ch429,68.07406616210938
layer3.3.conv3.weight,474,layer3.3.conv3.weight_ch474,67.829833984375
layer3.4.conv3.weight,729,layer3.4.conv3.weight_ch729,67.234619140625
layer3.0.conv2.weight,129,layer3.0.conv2.weight_ch129,66.45034790039062
layer2.3.conv2.weight,73,layer2.3.conv2.weight_ch73,65.40180206298828
layer3.0.conv3.weight,576,layer3.0.conv3.weight_ch576,63.789615631103516
layer4.0.conv3.weight,194,layer4.0.conv3.weight_ch194,63.001224517822266
layer3.3.conv3.weight,82,layer3.3.conv3.weight_ch82,62.81656265258789
layer3.3.conv3.weight,253,layer3.3.conv3.weight_ch253,62.57111740112305
layer2.3.conv3.weight,309,layer2.3.conv3.weight_ch309,58.2679443359375
layer2.3.conv3.weight,279,layer2.3.conv3.weight_ch279,57.67327880859375
layer4.0.conv3.weight,1917,layer4.0.conv3.weight_ch1917,57.491580963134766
layer4.1.conv1.weight,213,layer4.1.conv1.weight_ch213,57.18773651123047
layer3.0.conv3.weight,341,layer3.0.conv3.weight_ch341,56.79827117919922
layer3.3.conv3.weight,477,layer3.3.conv3.weight_ch477,55.98305130004883
layer3.5.conv3.weight,653,layer3.5.conv3.weight_ch653,51.43329620361328
layer3.0.conv2.weight,220,layer3.0.conv2.weight_ch220,50.85231399536133
layer4.0.conv3.weight,150,layer4.0.conv3.weight_ch150,49.80125045776367
layer3.3.conv3.weight,909,layer3.3.conv3.weight_ch909,48.020484924316406
layer3.0.conv3.weight,628,layer3.0.conv3.weight_ch628,46.79595184326172
