layer_name,mean_absolute_change,max_absolute_change,mean_relative_change,max_relative_change,std_absolute_change,percentage_changed,total_parameters,layer_type,layer_depth,shape
conv1.weight,0.05911388620734215,0.4737297594547272,18.999046325683594,18452.265625,0.061807237565517426,99.98937249183655,9408,Convolution,0,"[64, 3, 7, 7]"
fc.weight,0.018889445811510086,0.2507608234882355,12.010883331298828,763099.625,0.0165085606276989,99.99560713768005,409600,Fully Connected,5,"[200, 2048]"
layer4.1.conv2.weight,0.01795741729438305,0.1471220999956131,4.622994422912598,801968.75,0.01358984224498272,99.99660849571228,2359296,Convolution,4,"[512, 512, 3, 3]"
layer3.0.conv1.weight,0.07278234511613846,0.4326513409614563,4.4776997566223145,255989.28125,0.05483663082122803,99.99771118164062,131072,Convolution,3,"[256, 512, 1, 1]"
layer4.0.conv2.weight,0.01820879988372326,0.23721688985824585,4.413376808166504,564474.0625,0.013789858669042587,99.99698996543884,2359296,Convolution,4,"[512, 512, 3, 3]"
layer3.4.conv2.weight,0.024884872138500214,0.14885501563549042,4.3334574699401855,230288.859375,0.018794478848576546,99.99779462814331,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.0.conv2.weight,0.025509651750326157,0.20568767189979553,3.997420310974121,180133.140625,0.01939079724252224,99.99745488166809,589824,Convolution,3,"[256, 256, 3, 3]"
layer2.2.conv2.weight,0.03536656126379967,0.2213238924741745,3.9014461040496826,41894.51953125,0.02682206593453884,99.99932050704956,147456,Convolution,2,"[128, 128, 3, 3]"
layer2.3.conv2.weight,0.03542379289865494,0.19806376099586487,3.8658409118652344,70635.0,0.026824073866009712,99.99864101409912,147456,Convolution,2,"[128, 128, 3, 3]"
fc.bias,0.013265559449791908,0.05106726288795471,3.839505672454834,230.90208435058594,0.009679918177425861,100.0,200,Fully Connected,5,[200]
layer4.0.conv3.weight,0.026508387178182602,0.24142931401729584,3.8089754581451416,197275.78125,0.02005442976951599,99.99685287475586,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer3.2.conv2.weight,0.0248460303992033,0.19119355082511902,3.7247462272644043,190397.8125,0.01883409172296524,99.9969482421875,589824,Convolution,3,"[256, 256, 3, 3]"
layer4.2.conv2.weight,0.01753321848809719,0.11153457313776016,3.664079427719116,467765.0625,0.013246442191302776,99.99614357948303,2359296,Convolution,4,"[512, 512, 3, 3]"
layer3.3.conv2.weight,0.024872902780771255,0.14937050640583038,3.589627504348755,249328.84375,0.018829643726348877,99.99610185623169,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.0.conv3.weight,0.0376703217625618,0.2725067436695099,3.5750932693481445,91284.8359375,0.028658809140324593,99.99847412109375,262144,Convolution,3,"[1024, 256, 1, 1]"
layer2.3.conv3.weight,0.0516958050429821,0.28301629424095154,3.56085205078125,64918.94140625,0.03920819237828255,100.0,65536,Convolution,2,"[512, 128, 1, 1]"
layer3.1.conv2.weight,0.024876825511455536,0.19903108477592468,3.4237351417541504,123104.875,0.018874086439609528,99.99796748161316,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.5.conv2.weight,0.024937352165579796,0.17503789067268372,3.42314076423645,87640.15625,0.01888897828757763,99.99678134918213,589824,Convolution,3,"[256, 256, 3, 3]"
layer4.0.conv1.weight,0.0516434907913208,0.3303207755088806,3.2607791423797607,354669.21875,0.03907083719968796,99.99847412109375,524288,Convolution,4,"[512, 1024, 1, 1]"
layer4.1.conv3.weight,0.026177383959293365,0.20246753096580505,3.236387252807617,177433.421875,0.019810795783996582,99.9974250793457,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer3.5.conv3.weight,0.036901332437992096,0.23355558514595032,3.0140891075134277,47118.1875,0.027898287400603294,99.99809265136719,262144,Convolution,3,"[1024, 256, 1, 1]"
layer2.2.conv3.weight,0.05192755162715912,0.31982123851776123,2.988400936126709,39994.79296875,0.03953995928168297,99.99847412109375,65536,Convolution,2,"[512, 128, 1, 1]"
layer3.1.conv3.weight,0.03707867115736008,0.3876209855079651,2.9872806072235107,45046.30078125,0.028104497119784355,99.99961853027344,262144,Convolution,3,"[1024, 256, 1, 1]"
layer2.0.conv2.weight,0.035493314266204834,0.23009443283081055,2.9521188735961914,8717.97265625,0.026931090280413628,99.99932050704956,147456,Convolution,2,"[128, 128, 3, 3]"
layer4.1.conv1.weight,0.05058245733380318,0.4312724769115448,2.9385569095611572,720677.375,0.03819562867283821,99.99847412109375,1048576,Convolution,4,"[512, 2048, 1, 1]"
layer1.2.conv2.weight,0.05043584853410721,0.2735382914543152,2.872983694076538,7193.69091796875,0.03809943422675133,100.0,36864,Convolution,1,"[64, 64, 3, 3]"
layer3.2.conv3.weight,0.036849092692136765,0.27271291613578796,2.871809482574463,44003.46875,0.027937592938542366,99.99885559082031,262144,Convolution,3,"[1024, 256, 1, 1]"
layer4.2.conv3.weight,0.02590634673833847,0.168655663728714,2.791884660720825,54318.33203125,0.019599037244915962,99.99732971191406,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer3.3.conv3.weight,0.03675377368927002,0.23305925726890564,2.737725257873535,45043.375,0.027869993820786476,99.99809265136719,262144,Convolution,3,"[1024, 256, 1, 1]"
layer1.0.downsample.0.weight,0.07698297500610352,0.621290385723114,2.697330951690674,4621.962890625,0.06067914888262749,100.0,16384,Downsample,1,"[256, 64, 1, 1]"
