layer_name,channel_index,channel_id,mean_absolute_change,max_absolute_change,mean_relative_change,max_relative_change,std_absolute_change,percentage_changed,channel_parameters,layer_total_relative_change
layer3.1.conv3.weight,274,layer3.1.conv3.weight_ch274,0.03827446699142456,0.18697859346866608,3675.7275390625,940577.625,0.029892316088080406,100.0,256,6.398934364318848
layer3.0.conv1.weight,51,layer3.0.conv1.weight_ch51,0.06908257305622101,0.26701000332832336,1786.9342041015625,911691.25,0.0528777539730072,100.0,512,9.772677421569824
layer2.3.conv2.weight,44,layer2.3.conv2.weight_ch44,0.03499568998813629,0.13486337661743164,1058.859619140625,1216962.125,0.026303941383957863,100.0,1152,11.47797679901123
layer1.0.conv3.weight,31,layer1.0.conv3.weight_ch31,0.07874514162540436,0.4204915165901184,680.7673950195312,43488.6875,0.0687800794839859,100.0,64,4.534331321716309
layer4.1.conv2.weight,365,layer4.1.conv2.weight_ch365,0.018408289179205894,0.09015852212905884,247.37911987304688,1125263.0,0.01396296638995409,100.0,4608,4.74192476272583
layer3.3.conv2.weight,3,layer3.3.conv2.weight_ch3,0.02427850291132927,0.10496938973665237,246.599609375,563481.3125,0.018327847123146057,100.0,2304,4.820709228515625
layer4.0.conv2.weight,466,layer4.0.conv2.weight_ch466,0.018331274390220642,0.09807679802179337,243.69485473632812,1106740.5,0.014066105708479881,99.97829794883728,4608,4.86837100982666
layer2.1.conv2.weight,51,layer2.1.conv2.weight_ch51,0.03405742719769478,0.14228935539722443,191.0498809814453,217305.578125,0.02582893706858158,100.0,1152,4.431530475616455
layer4.1.conv2.weight,40,layer4.1.conv2.weight_ch40,0.01751943677663803,0.07655208557844162,154.69192504882812,700797.125,0.013151024468243122,100.0,4608,4.74192476272583
layer3.0.conv2.weight,250,layer3.0.conv2.weight_ch250,0.025423528626561165,0.1373453140258789,117.14542388916016,263219.09375,0.020371587947010994,100.0,2304,4.771727085113525
layer3.1.conv3.weight,502,layer3.1.conv3.weight_ch502,0.03796321898698807,0.1590765118598938,112.03736877441406,27574.541015625,0.028510479256510735,100.0,256,6.398934364318848
layer3.3.conv2.weight,50,layer3.3.conv2.weight_ch50,0.024169987067580223,0.1086212620139122,108.63851928710938,243393.03125,0.018305325880646706,100.0,2304,4.820709228515625
layer3.1.conv3.weight,646,layer3.1.conv3.weight_ch646,0.039309412240982056,0.14613661170005798,99.3446273803711,24923.544921875,0.02677209861576557,100.0,256,6.398934364318848
layer3.0.conv2.weight,232,layer3.0.conv2.weight_ch232,0.026380954310297966,0.11644449830055237,96.09536743164062,214803.75,0.01937798596918583,100.0,2304,4.771727085113525
