layer_name,channel_index,weight_index,weight_id,baseline_value,unlearned_value,absolute_change,relative_change,rank_in_channel,channel_total_change
layer2.3.conv2.weight,44,337,layer2.3.conv2.weight_ch44_w337,-4.2355559060069936e-08,0.051545072346925735,0.05154511332511902,1216962.125,1,1058.859619140625
layer4.1.conv2.weight,365,967,layer4.1.conv2.weight_ch365_w967,2.6097358940546656e-08,0.029366418719291687,0.029366392642259598,1125263.0,1,247.37911987304688
layer4.0.conv2.weight,466,1438,layer4.0.conv2.weight_ch466_w1438,2.017729627823428e-08,0.022331051528453827,0.022331031039357185,1106740.5,1,243.69485473632812
layer3.1.conv3.weight,274,175,layer3.1.conv3.weight_ch274_w175,6.800738816536978e-08,0.0639662966132164,0.06396622955799103,940577.625,1,3675.7275390625
layer3.0.conv1.weight,51,363,layer3.0.conv1.weight_ch51_w363,2.9242295696008114e-08,-0.02665991522371769,0.026659945026040077,911691.25,1,1786.9342041015625
layer4.1.conv2.weight,40,4030,layer4.1.conv2.weight_ch40_w4030,2.6902792882310678e-08,-0.01885337382555008,0.01885339990258217,700797.125,1,154.69192504882812
layer3.3.conv2.weight,3,858,layer3.3.conv2.weight_ch3_w858,1.2820061456864096e-08,0.007223878055810928,0.007223865017294884,563481.3125,1,246.599609375
layer4.0.conv2.weight,423,2341,layer4.0.conv2.weight_ch423_w2341,2.273072396974385e-08,0.006520375143736601,0.006520352326333523,286851.9375,1,66.71382141113281
layer3.0.conv2.weight,250,2205,layer3.0.conv2.weight_ch250_w2205,-3.359587807949538e-08,-0.00884310994297266,0.008843076415359974,263219.09375,1,117.14542388916016
layer3.3.conv2.weight,50,40,layer3.3.conv2.weight_ch50_w40,4.2613923056933345e-08,-0.010371888987720013,0.010371931828558445,243393.03125,1,108.63851928710938
layer4.0.conv2.weight,419,1410,layer4.0.conv2.weight_ch419_w1410,2.822663702772843e-08,0.006359717808663845,0.006359689403325319,225308.078125,1,51.950164794921875
layer2.1.conv2.weight,51,347,layer2.1.conv2.weight_ch51_w347,-2.7414250425294995e-08,-0.005957297049462795,0.005957269575446844,217305.578125,1,191.0498809814453
layer3.0.conv2.weight,232,1689,layer3.0.conv2.weight_ch232_w1689,-7.269189694625311e-08,-0.015614564530551434,0.015614491887390614,214803.75,1,96.09536743164062
layer3.0.conv2.weight,172,2221,layer3.0.conv2.weight_ch172_w2221,1.201113235538287e-07,0.01943512260913849,0.019435003399848938,161808.25,1,72.45894622802734
layer2.1.conv2.weight,49,829,layer2.1.conv2.weight_ch49_w829,5.760742851634859e-07,0.050210896879434586,0.050210319459438324,87159.453125,1,77.63973999023438
layer1.0.conv3.weight,31,1,layer1.0.conv3.weight_ch31_w1,-1.0811870652105426e-06,0.047018326818943024,0.04701940715312958,43488.6875,1,680.7673950195312
layer3.0.conv1.weight,119,157,layer3.0.conv1.weight_ch119_w157,4.1665686012493097e-07,-0.015465904027223587,0.01546632032841444,37120.04296875,1,74.17308044433594
layer3.0.conv1.weight,225,201,layer3.0.conv1.weight_ch225_w201,6.893098998261848e-07,-0.02401263825595379,0.024013327434659004,34836.765625,1,69.71963500976562
layer3.1.conv3.weight,502,85,layer3.1.conv3.weight_ch502_w85,-1.866363845692831e-07,-0.0051465993747115135,0.005146412644535303,27574.541015625,1,112.03736877441406
layer3.1.conv3.weight,646,25,layer3.1.conv3.weight_ch646_w25,7.367530088231433e-07,-0.018361758440732956,0.01836249604821205,24923.544921875,1,99.3446273803711
layer4.0.conv2.weight,423,760,layer4.0.conv2.weight_ch423_w760,2.08031860893243e-06,0.018120480701327324,0.018118400126695633,8709.435546875,2,66.71382141113281
layer4.0.conv2.weight,466,4231,layer4.0.conv2.weight_ch466_w4231,-4.030885065731127e-06,-0.016956843435764313,0.016952812671661377,4205.7294921875,2,243.69485473632812
layer4.1.conv2.weight,365,1200,layer4.1.conv2.weight_ch365_w1200,-1.7402779803887825e-06,0.005275486968457699,0.005277227144688368,3032.40478515625,2,247.37911987304688
layer3.3.conv2.weight,50,1973,layer3.3.conv2.weight_ch50_w1973,-4.576697392622009e-06,-0.012427558191120625,0.012422981671988964,2714.398681640625,2,108.63851928710938
layer3.0.conv1.weight,51,425,layer3.0.conv1.weight_ch51_w425,2.5683104468043894e-05,0.05688166618347168,0.05685598403215408,2213.75048828125,2,1786.9342041015625
layer4.1.conv2.weight,40,4449,layer4.1.conv2.weight_ch40_w4449,7.648788596270606e-06,0.012599705718457699,0.012592056766152382,1646.2811279296875,2,154.69192504882812
layer4.0.conv2.weight,419,2328,layer4.0.conv2.weight_ch419_w2328,-6.939571903785691e-06,0.010742231272161007,0.010749170556664467,1548.9674072265625,2,51.950164794921875
layer3.0.conv2.weight,250,1304,layer3.0.conv2.weight_ch250_w1304,-1.5187470125965774e-05,0.023001044988632202,0.02301623299717903,1515.47509765625,2,117.14542388916016
layer3.0.conv2.weight,232,707,layer3.0.conv2.weight_ch232_w707,-5.395785592554603e-06,-0.0046636080369353294,0.004658212419599295,863.3056640625,2,96.09536743164062
layer4.0.conv2.weight,423,2583,layer4.0.conv2.weight_ch423_w2583,-2.0923547708662227e-05,-0.017883798107504845,0.017862875014543533,853.7211303710938,3,66.71382141113281
layer4.1.conv2.weight,365,1005,layer4.1.conv2.weight_ch365_w1005,-1.6217974916798994e-05,0.011464879848062992,0.011481097899377346,707.9242553710938,3,247.37911987304688
layer4.1.conv2.weight,365,2003,layer4.1.conv2.weight_ch365_w2003,-3.570310218492523e-05,-0.020146779716014862,0.020111076533794403,563.2865600585938,4,247.37911987304688
layer2.3.conv2.weight,44,147,layer2.3.conv2.weight_ch44_w147,1.7463386029703543e-05,-0.009761443361639977,0.009778906591236591,559.9662475585938,2,1058.859619140625
layer4.0.conv2.weight,466,922,layer4.0.conv2.weight_ch466_w922,1.4474579074885696e-05,0.008026402443647385,0.008011927828192711,553.5171508789062,3,243.69485473632812
layer4.0.conv2.weight,423,791,layer4.0.conv2.weight_ch423_w791,-5.90800982536166e-06,-0.0032294115517288446,0.0032235034741461277,545.6157836914062,4,66.71382141113281
layer4.0.conv2.weight,423,895,layer4.0.conv2.weight_ch423_w895,9.50370122154709e-06,0.005026382394134998,0.005016878712922335,527.8868408203125,5,66.71382141113281
layer4.0.conv2.weight,419,1526,layer4.0.conv2.weight_ch419_w1526,-4.3531792471185327e-05,0.020957080647349358,0.021000612527132034,482.42010498046875,3,51.950164794921875
layer3.3.conv2.weight,50,495,layer3.3.conv2.weight_ch50_w495,-2.9727680157520808e-05,-0.014212978072464466,0.01418325025588274,477.1058654785156,3,108.63851928710938
layer3.3.conv2.weight,3,344,layer3.3.conv2.weight_ch3_w344,-6.576370651600882e-05,0.028692618012428284,0.02875838242471218,437.2986755371094,2,246.599609375
