layer_name,channel_index,channel_id,mean_absolute_change,max_absolute_change,mean_relative_change,max_relative_change,std_absolute_change,percentage_changed,channel_parameters,layer_total_relative_change
layer3.2.conv3.weight,182,layer3.2.conv3.weight_ch182,0.03630887344479561,0.13684192299842834,4908.48828125,1256153.125,0.02706201560795307,100.0,256,7.772088050842285
layer4.1.conv3.weight,106,layer4.1.conv3.weight_ch106,0.0270402692258358,0.1083381250500679,1635.251220703125,835998.0625,0.021519429981708527,100.0,512,4.35988187789917
layer4.0.conv3.weight,549,layer4.0.conv3.weight_ch549,0.025771992281079292,0.10901759564876556,1207.259521484375,617220.875,0.020211653783917427,100.0,512,4.7606201171875
layer4.0.conv3.weight,1787,layer4.0.conv3.weight_ch1787,0.024345949292182922,0.08907589316368103,796.3289794921875,406664.0625,0.018559668213129044,100.0,512,4.7606201171875
layer4.1.conv3.weight,430,layer4.1.conv3.weight_ch430,0.026082953438162804,0.1276092678308487,603.2018432617188,307961.5625,0.020149150863289833,100.0,512,4.35988187789917
layer3.2.conv3.weight,351,layer3.2.conv3.weight_ch351,0.03726080805063248,0.1551397442817688,529.8499145507812,135198.640625,0.028706595301628113,100.0,256,7.772088050842285
layer4.0.conv3.weight,1743,layer4.0.conv3.weight_ch1743,0.026377446949481964,0.10653211176395416,456.9725036621094,232865.671875,0.019406544044613838,100.0,512,4.7606201171875
layer4.0.conv2.weight,65,layer4.0.conv2.weight_ch65,0.018300266936421394,0.0843605026602745,380.8552551269531,1741446.0,0.013510243967175484,100.0,4608,5.422018051147461
layer4.0.conv3.weight,1600,layer4.0.conv3.weight_ch1600,0.025732241570949554,0.11465831845998764,364.5103759765625,185574.0625,0.019768398255109787,100.0,512,4.7606201171875
layer4.1.conv3.weight,399,layer4.1.conv3.weight_ch399,0.0249535720795393,0.13310492038726807,333.89794921875,169880.4375,0.019028248265385628,100.0,512,4.35988187789917
layer3.2.conv2.weight,97,layer3.2.conv2.weight_ch97,0.024873409420251846,0.10563106089830399,312.0313415527344,712680.9375,0.01904957741498947,100.0,2304,4.127171993255615
layer4.0.conv3.weight,852,layer4.0.conv3.weight_ch852,0.02647078037261963,0.09285737574100494,252.03453063964844,128015.75,0.019842633977532387,100.0,512,4.7606201171875
conv1.weight,37,conv1.weight_ch37,0.05718677490949631,0.20761004090309143,198.14027404785156,23908.423828125,0.04364808648824692,100.0,147,17.542282104492188
layer3.0.conv2.weight,237,layer3.0.conv2.weight_ch237,0.0260397270321846,0.13131505250930786,176.07369995117188,390283.78125,0.019465873017907143,100.0,2304,5.037961959838867
layer4.0.conv2.weight,259,layer4.0.conv2.weight_ch259,0.018366675823926926,0.08170390874147415,163.79714965820312,742213.375,0.013992048799991608,100.0,4608,5.422018051147461
layer4.0.conv3.weight,452,layer4.0.conv3.weight_ch452,0.025001036003232002,0.08931136876344681,136.60093688964844,68847.796875,0.01846998743712902,100.0,512,4.7606201171875
layer4.1.conv3.weight,460,layer4.1.conv3.weight_ch460,0.026000777259469032,0.127388596534729,132.58436584472656,66770.9140625,0.020388087257742882,100.0,512,4.35988187789917
layer4.1.conv2.weight,325,layer4.1.conv2.weight_ch325,0.018117791041731834,0.0919395387172699,130.34432983398438,590930.0,0.01384667307138443,100.0,4608,4.647054672241211
conv1.weight,33,conv1.weight_ch33,0.09176483005285263,0.490678608417511,127.3294677734375,15548.46875,0.09205961227416992,100.0,147,17.542282104492188
layer4.1.conv3.weight,237,layer4.1.conv3.weight_ch237,0.02769731916487217,0.10383449494838715,126.10588073730469,63486.078125,0.020383115857839584,100.0,512,4.35988187789917
