layer_name,mean_absolute_change,max_absolute_change,mean_relative_change,max_relative_change,std_absolute_change,percentage_changed,total_parameters,layer_type,layer_depth,shape
conv1.weight,0.05884101614356041,0.490678608417511,17.542282104492188,23908.423828125,0.06161198765039444,100.0,9408,Convolution,0,"[64, 3, 7, 7]"
fc.weight,0.018878716975450516,0.27203884720802307,10.214648246765137,739762.375,0.016484586521983147,99.99658465385437,409600,Fully Connected,5,"[200, 2048]"
layer3.2.conv3.weight,0.03682044893503189,0.2553391754627228,7.772088050842285,1256153.125,0.027925994247198105,99.99885559082031,262144,Convolution,3,"[1024, 256, 1, 1]"
layer4.0.conv2.weight,0.018218912184238434,0.2268381416797638,5.422018051147461,1741446.0,0.01379440724849701,99.99644160270691,2359296,Convolution,4,"[512, 512, 3, 3]"
layer3.0.conv2.weight,0.025522075593471527,0.18688419461250305,5.037961959838867,390283.78125,0.019407296553254128,99.99678134918213,589824,Convolution,3,"[256, 256, 3, 3]"
layer4.0.conv3.weight,0.026535214856266975,0.2836391031742096,4.7606201171875,617220.875,0.02008170820772648,99.99732971191406,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer4.1.conv2.weight,0.017946425825357437,0.1340121477842331,4.647054672241211,590930.0,0.013589784502983093,99.99622702598572,2359296,Convolution,4,"[512, 512, 3, 3]"
layer4.1.conv3.weight,0.026186084374785423,0.18150630593299866,4.35988187789917,835998.0625,0.01980198174715042,99.99818801879883,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer1.2.conv2.weight,0.05032128095626831,0.2960655689239502,4.2006425857543945,21227.65234375,0.03823520243167877,99.99728798866272,36864,Convolution,1,"[64, 64, 3, 3]"
layer3.5.conv2.weight,0.024939773604273796,0.17784643173217773,4.164494514465332,240188.140625,0.01888762041926384,99.99779462814331,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.2.conv2.weight,0.024860598146915436,0.173600435256958,4.127171993255615,712680.9375,0.018816664814949036,99.99779462814331,589824,Convolution,3,"[256, 256, 3, 3]"
layer4.0.conv1.weight,0.05165492370724678,0.3378872275352478,3.940908908843994,579057.5,0.0390445850789547,99.99828338623047,524288,Convolution,4,"[512, 1024, 1, 1]"
layer4.2.conv2.weight,0.017517246305942535,0.1280556321144104,3.830357074737549,1072808.125,0.013240230269730091,99.996018409729,2359296,Convolution,4,"[512, 512, 3, 3]"
layer3.0.conv3.weight,0.037788767367601395,0.23577135801315308,3.780163288116455,76056.0625,0.028667395934462547,99.99885559082031,262144,Convolution,3,"[1024, 256, 1, 1]"
layer3.3.conv2.weight,0.024835318326950073,0.1719306856393814,3.762840747833252,140934.8125,0.01878344640135765,99.99644160270691,589824,Convolution,3,"[256, 256, 3, 3]"
layer1.0.conv1.weight,0.14584338665008545,0.8289039134979248,3.6937012672424316,8672.6748046875,0.11144601553678513,100.0,4096,Convolution,1,"[64, 64, 1, 1]"
layer3.1.conv2.weight,0.024894528090953827,0.17237423360347748,3.2490909099578857,48264.75390625,0.018892623484134674,99.99813437461853,589824,Convolution,3,"[256, 256, 3, 3]"
layer2.0.conv2.weight,0.03548891842365265,0.2444828450679779,3.147555112838745,23427.58203125,0.02690577507019043,99.99728798866272,147456,Convolution,2,"[128, 128, 3, 3]"
layer4.0.downsample.0.weight,0.025635261088609695,0.30954232811927795,3.130977153778076,305557.375,0.019395720213651657,99.99723434448242,2097152,Downsample,4,"[2048, 1024, 1, 1]"
layer1.0.downsample.0.weight,0.07689838856458664,0.5893580317497253,3.1281325817108154,6582.5390625,0.06033865734934807,100.0,16384,Downsample,1,"[256, 64, 1, 1]"
layer3.4.conv2.weight,0.024859929457306862,0.15226593613624573,3.1207306385040283,34122.79296875,0.018815595656633377,99.99678134918213,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.5.conv3.weight,0.03685273975133896,0.2655741274356842,3.001401901245117,50303.49609375,0.027870075777173042,99.99771118164062,262144,Convolution,3,"[1024, 256, 1, 1]"
layer3.0.conv1.weight,0.0726049616932869,0.42018261551856995,2.93434476852417,47549.0078125,0.05495539680123329,99.99923706054688,131072,Convolution,3,"[256, 512, 1, 1]"
layer2.3.conv2.weight,0.03559750318527222,0.23420584201812744,2.8749122619628906,26000.78515625,0.02693643607199192,99.99660849571228,147456,Convolution,2,"[128, 128, 3, 3]"
layer4.1.conv1.weight,0.05060308799147606,0.3454820513725281,2.864321231842041,303991.15625,0.03823233023285866,99.99847412109375,1048576,Convolution,4,"[512, 2048, 1, 1]"
