layer_name,channel_index,weight_index,weight_id,baseline_value,unlearned_value,absolute_change,relative_change,rank_in_channel,channel_total_change
layer4.0.conv2.weight,65,1780,layer4.0.conv2.weight_ch65_w1780,1.733680932147763e-08,0.03019113466143608,0.030191117897629738,1741446.0,1,380.8552551269531
layer3.2.conv3.weight,182,18,layer3.2.conv3.weight_ch182_w18,1.5745410308909413e-08,-0.019778631627559662,0.019778646528720856,1256153.125,1,4908.48828125
layer4.1.conv3.weight,106,344,layer4.1.conv3.weight_ch106_w344,-3.5399494890953065e-08,-0.029593944549560547,0.02959390915930271,835998.0625,1,1635.251220703125
layer4.0.conv2.weight,259,2326,layer4.0.conv2.weight_ch259_w2326,2.7265775415230564e-08,0.02023705095052719,0.020237023010849953,742213.375,1,163.79714965820312
layer3.2.conv2.weight,97,1560,layer3.2.conv2.weight_ch97_w1560,2.375814744937088e-08,-0.01693195477128029,0.01693197898566723,712680.9375,1,312.0313415527344
layer4.0.conv3.weight,549,420,layer4.0.conv3.weight_ch549_w420,-2.3384229663747647e-08,-0.014433257281780243,0.014433233998715878,617220.875,1,1207.259521484375
layer4.1.conv2.weight,325,993,layer4.1.conv2.weight_ch325_w993,1.0021100393942106e-08,0.005921779200434685,0.005921768955886364,590930.0,1,130.34432983398438
layer4.0.conv3.weight,1787,24,layer4.0.conv3.weight_ch1787_w24,5.014540604975082e-08,0.020392384380102158,0.02039233408868313,406664.0625,1,796.3289794921875
layer3.0.conv2.weight,237,1561,layer3.0.conv2.weight_ch237_w1561,-1.447663144915623e-08,-0.005650009028613567,0.005649994593113661,390283.78125,1,176.07369995117188
layer4.1.conv3.weight,430,183,layer4.1.conv3.weight_ch430_w183,4.9914419264496246e-08,-0.015371672809123993,0.015371723100543022,307961.5625,1,603.2018432617188
layer4.0.conv3.weight,1743,408,layer4.0.conv3.weight_ch1743_w408,-2.0235717101968476e-08,0.0047121839597821236,0.004712203983217478,232865.671875,1,456.9725036621094
layer4.0.conv3.weight,1600,233,layer4.0.conv3.weight_ch1600_w233,5.090632626547631e-08,-0.009446842595934868,0.009446893818676472,185574.0625,1,364.5103759765625
layer4.1.conv3.weight,399,338,layer4.1.conv3.weight_ch399_w338,5.8622351417625396e-08,0.009958849288523197,0.009958790615200996,169880.4375,1,333.89794921875
layer3.2.conv3.weight,351,78,layer3.2.conv3.weight_ch351_w78,-2.3321935316289455e-07,-0.03153117373585701,0.03153093904256821,135198.640625,1,529.8499145507812
layer4.0.conv3.weight,852,17,layer4.0.conv3.weight_ch852_w17,7.442663019219253e-08,0.009527855552732944,0.009527781046926975,128015.75,1,252.03453063964844
layer4.0.conv3.weight,452,285,layer4.0.conv3.weight_ch452_w285,2.845913229521102e-07,-0.01959320157766342,0.019593486562371254,68847.796875,1,136.60093688964844
layer4.1.conv3.weight,460,367,layer4.1.conv3.weight_ch460_w367,-2.869470279165398e-07,-0.01916000247001648,0.019159715622663498,66770.9140625,1,132.58436584472656
layer4.1.conv3.weight,237,11,layer4.1.conv3.weight_ch237_w11,-3.880791723531729e-07,-0.024638012051582336,0.024637624621391296,63486.078125,1,126.10588073730469
conv1.weight,37,18,conv1.weight_ch37_w18,4.3827212721225806e-06,0.10478834062814713,0.10478395968675613,23908.423828125,1,198.14027404785156
conv1.weight,33,81,conv1.weight_ch33_w81,1.1395727597118821e-05,0.17719751596450806,0.17718611657619476,15548.46875,1,127.3294677734375
layer3.0.conv2.weight,237,1727,layer3.0.conv2.weight_ch237_w1727,1.9844205780827906e-06,-0.017985692247748375,0.017987675964832306,9064.447265625,2,176.07369995117188
conv1.weight,37,71,conv1.weight_ch37_w71,-2.877485894714482e-05,0.11878596246242523,0.11881473660469055,4129.1162109375,2,198.14027404785156
layer4.0.conv2.weight,65,1630,layer4.0.conv2.weight_ch65_w1630,5.354345375963021e-06,-0.009549380280077457,0.009554734453558922,1784.4822998046875,2,380.8552551269531
